a                   PAoIinf         PAoIsup
0.6126998367802821 2.0687860530009083 3.1178582293527732
0.6176998367802821 2.097858748538861 3.1142656901811545
0.6226998367802821 2.1283285421652764 3.1105325575960716
0.6276998367802821 2.1575824391758407 3.106666891986209
0.6326998367802821 2.1856664471861285 3.1026763515305387
0.6376998367802821 2.212624596262718 3.098568213700214
0.6426998367802821 2.238499036480988 3.094349395491225
0.6476998367802821 2.263330130015886 3.0900264724706568
0.6526998367802821 2.2871565381093095 3.085605696713415
0.6576998367802821 2.310015303233786 3.0810930137008423
0.6626998367802821 2.3319419267500052 3.0764940782475683
0.6676998367802821 2.3529704423353452 3.0718142695183035
0.6726998367802821 2.3731334854416284 3.0670587051919567
0.677699836780282 2.3924623590228595 3.0622322548265055
0.6826998367802821 2.4109870957575374 3.057339552474339
0.687699836780282 2.4287365169751043 3.052385008594448
0.692699836780282 2.445738288482255 3.0473728213046254
0.697699836780282 2.462018973471905 3.0423069870139803
0.702699836780282 2.4776040826856978 3.037191310473346
0.707699836780282 2.492518121989818 3.0320294142786595
0.712699836780282 2.5067846375135936 3.0268247478600845
0.717699836780282 2.520426258490782 3.0215805959874777
0.722699836780282 2.533464737934545 3.0163000868208263
0.727699836780282 2.5459209912688276 3.010986199532396
0.732699836780282 2.5578151330311716 3.0056417715256334
0.7376998367802821 2.569166511754797 3.000269505274246
0.7426998367802821 2.579993743131115 2.994871974803398
0.7476998367802821 2.590314741547618 2.9894516318335675
0.7526998367802821 2.6001467500902518 2.984010811606324
0.7576998367802821 2.609506369094001 2.978551738410075
0.7626998367802821 2.6184095833203247 2.973076530822722
0.7676998367802821 2.626871787835386 2.9675872066870927
0.7726998367802821 2.6349078126585885 2.9620856878340796
0.7776998367802821 2.6425319462468257 2.956573804567462
0.7826998367802821 2.6497579578759956 2.9510532999235863
0.7876998367802821 2.656599118977709 2.945525833718228
0.792699836780282 2.6630682234857845 2.93999298639229
0.7976998367802821 2.6691776072439284 2.9344562626672124
0.802699836780282 2.6749391665230586 2.9289170950204166
0.8076998367802821 2.6803643756939737 2.9233768469904025
0.812699836780282 2.685464304098435 2.91783681632064
0.8176998367802821 2.6902496321593525 2.912298237950794
0.822699836780282 2.6947306667684066 2.9067622868633833
0.827699836780282 2.6989173559873745 2.9012300807934412
0.832699836780282 2.7028193030973533 2.8957026828083907
0.837699836780282 2.7064457800282344 2.890181103764862
0.842699836780282 2.709805740198956 2.8846663046488423
0.847699836780282 2.712907830797448 2.879159198805171
0.852699836780282 2.71576040452758 2.8736606540620624
0.857699836780282 2.718371530848945 2.868171494756006
0.8626998367802821 2.7207490067339686 2.8626925036621174
0.8676998367802821 2.722900366965461 2.8572244238347153
0.8726998367802821 2.724832893996563 2.851767960362645
0.8776998367802821 2.7265536273938373 2.846323782043625
0.8826998367802821 2.728069372883189 2.840892522981641
0.8876998367802821 2.729386711017259 2.8354747841112258
0.8926998367802821 2.7305120054819776 2.8300711346522185
0.8976998367802821 2.7314514110590284 2.82468211349844
0.9026998367802821 2.7322108812601473 2.819308230543507
0.907699836780282 2.7327961756483363 2.813949967946858
0.9126998367802821 2.733212866860309 2.8086077813428867
0.917699836780282 2.7334663473437875 2.803282100995945
0.9226998367802821 2.7335618358225373 2.7979733329037932
0.927699836780282 2.7335043835014403 2.7926818598520002
0.9326998367802821 2.7332988800232267 2.7874080424216103
0.937699836780282 2.7329500591879703 2.7821522199523074
0.9426998367802821 2.7324625044458717 2.7769147114631725
0.947699836780282 2.7318406541733373 2.771695816533052
0.9526998367802821 2.731088806741891 2.766495816142397
0.957699836780282 2.7302111253889727 2.761314973478422
0.9626998367802821 2.729211642899253 2.756153534705237
0.967699836780282 2.728094266104677 2.7510117297006245
0.972699836780282 2.7268627802110386 2.745889772760964
0.977699836780282 2.7255208529585535 2.7407878632758003
0.982699836780282 2.7240720386235044 2.7357061863734145
0.9876998367802821 2.7225197818677165 2.7306449135387547
0.9926998367802821 2.7208674214423105 2.7256042032049512
0.9976998367802821 2.7191181937518634 2.7205842013196393
