p       rhoM        rhoL        rhoH
0.002   1           1           1
0.003   0.8005      0.8005      0.8005
0.004	0.6214	    0.6214      0.6214
0.797	0.013599	0.0031818	0.92185
0.802	0.013509	0.003162	0.92226
0.807	0.013419	0.0031424	0.92266
0.812	0.013331	0.003123	0.92305
0.817	0.013244	0.0031039	0.92345
0.822	0.013158	0.003085	0.92384
0.827	0.013073	0.0030664	0.92422
0.832	0.012989	0.003048	0.9246
0.837	0.012907	0.0030297	0.92498
0.842	0.012825	0.0030118	0.92535
0.847	0.012744	0.002994	0.92572
0.852	0.012664	0.0029764	0.92608
0.857	0.012586	0.002959	0.92644
0.862	0.012508	0.0029419	0.9268
0.867	0.012431	0.0029249	0.92715
0.872	0.012355	0.0029081	0.9275
0.877	0.01228	0.0028916	0.92784
0.882	0.012206	0.0028752	0.92819
0.887	0.012133	0.002859	0.92852
0.892	0.012061	0.0028429	0.92886
0.897	0.011989	0.0028271	0.92919
0.902	0.011919	0.0028114	0.92952
0.907	0.011849	0.0027959	0.92984
0.912	0.01178	0.0027806	0.93016
0.917	0.011712	0.0027654	0.93048
0.922	0.011644	0.0027504	0.9308
0.927	0.011577	0.0027356	0.93111
0.932	0.011511	0.0027209	0.93142
0.937	0.011446	0.0027064	0.93172
0.942	0.011382	0.002692	0.93203
0.947	0.011318	0.0026778	0.93233
0.952	0.011255	0.0026638	0.93262
0.957	0.011193	0.0026498	0.93292
0.962	0.011131	0.0026361	0.93321
0.967	0.01107	0.0026224	0.9335
0.972	0.01101	0.0026089	0.93379
0.977	0.01095	0.0025956	0.93407
0.982	0.010891	0.0025824	0.93435
0.987	0.010832	0.0025693	0.93463
0.992	0.010775	0.0025563	0.9349
0.997	0.010717	0.0025435	0.93518
