a                   PAoIsup         PAoIinf
0.18393972058572117 5.43656365691809 5.43656365691809
0.18893972058572117 5.57441090639669 5.296500643187332
0.19393972058572118 5.694019954539577 5.170695411881728
0.19893972058572118 5.797584097972418 5.057555766219622
0.20393972058572116 5.887003274137227 4.955695127174095
0.20893972058572116 5.963928302854306 4.863902152973846
0.21393972058572117 6.0297976722473 4.781115410041892
0.21893972058572117 6.085868256444103 4.706402164234603
0.22393972058572117 6.133241070499229 4.638940549148813
0.22893972058572115 6.17288294800452 4.578004515085222
0.23393972058572116 6.205644854242882 4.522951077641454
0.23893972058572116 6.2322774115470505 4.473209476090309
0.24393972058572116 6.253444105502244 4.428271924134906
0.24893972058572117 6.269732554520554 4.387685693466956
0.2539397205857212 6.281664156341144 4.351046316953235
0.2589397205857212 6.2897023695092775 4.317991735671336
0.2639397205857212 6.294259843030199 4.288197244289178
0.2689397205857212 6.295704570986716 4.261371113893803
0.27393972058572114 6.294365219240408 4.237250791464417
0.27893972058572114 6.290535747064425 4.215599591646887
0.28393972058572114 6.2844794266250315 4.19620381002789
0.28893972058572115 6.2764323468039525 4.17887019828491
0.29393972058572115 6.266606474270673 4.163423750847995
0.29893972058572116 6.255192333444038 4.149705760405302
0.30393972058572116 6.242361357601659 4.137572106001817
0.30634991839014103 6.2357164587055465 4.137572106001817
